央视,#genre#
CCTV-5+体育赛事,http://39.134.24.162/dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221225761/index.m3u8？
CCTV-8电视剧,http://39.134.24.162/dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226012/index.m3u8?
CCTV-9纪录片,http://39.134.24.162/dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226197/index.m3u8?
CCTV-10科教,http://39.134.24.162/dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226189/index.m3u8?
CCTV-13新闻,http://39.134.24.162/dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226233/index.m3u8?
CCTV-15音乐,http://39.134.24.162/dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221225785/index.m3u8?
CCTV-16奥林匹克频道,http://39.134.24.162/dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226921/index.m3u8?
		
CCTV-1综合,http://223.95.111.98:5555/newlive/live/hls/1/live.m3u8
CCTV-2财经,http://223.95.111.98:5555/newlive/live/hls/2/live.m3u8
CCTV-3综艺,http://223.95.111.98:5555/newlive/live/hls/3/live.m3u8
CCTV-4中文国际,http://223.95.111.98:5555/newlive/live/hls/4/live.m3u8
CCTV-5体育,http://223.95.111.98:5555/newlive/live/hls/5/live.m3u8
CCTV-6电影,http://223.95.111.98:5555/newlive/live/hls/6/live.m3u8
CCTV-7国防军事,http://223.95.111.98:5555/newlive/live/hls/7/live.m3u8
CCTV-8电视剧,http://223.95.111.98:5555/newlive/live/hls/8/live.m3u8
CCTV-9纪录片,http://223.95.111.98:5555/newlive/live/hls/9/live.m3u8
CCTV-10科教,http://223.95.111.98:5555/newlive/live/hls/10/live.m3u8
CCTV-11戏曲,http://223.95.111.98:5555/newlive/live/hls/11/live.m3u8
CCTV-12社会与法制,http://223.95.111.98:5555/newlive/live/hls/12/live.m3u8
CCTV-13新闻,http://223.95.111.98:5555/newlive/live/hls/13/live.m3u8
CCTV-14少儿频道,http://223.95.111.98:5555/newlive/live/hls/14/live.m3u8
		
CCTV-1综合,http://117.169.120.140:8080/live/cctv-1/.m3u8
CCTV-2财经,http://117.169.120.140:8080/live/cctv-2/.m3u8
CCTV-3综艺,http://117.169.120.140:8080/live/cctv-3/.m3u8
CCTV-4中文国际,http://117.169.120.140:8080/live/cctv-4/.m3u8
CCTV-5体育,http://117.169.120.140:8080/live/cctv-5/.m3u8
CCTV-6电影,http://117.169.120.140:8080/live/cctv-6/.m3u8
CCTV-7国防军事,http://117.169.120.140:8080/live/cctv-7/.m3u8
CCTV-8电视剧,http://117.169.120.140:8080/live/cctv-8/.m3u8
CCTV-9纪录片,http://117.169.120.140:8080/live/cctv-9/.m3u8
CCTV-10科教,http://117.169.120.140:8080/live/cctv-10/.m3u8
CCTV-11戏曲,http://117.169.120.140:8080/live/cctv-11/.m3u8
CCTV-12社会与法制,http://117.169.120.140:8080/live/cctv-12/.m3u8
CCTV-13新闻,http://117.169.120.140:8080/live/cctv-13/.m3u8
CCTV-14少儿频道,http://117.169.120.140:8080/live/cctv-14/.m3u8
CCTV-15音乐,http://117.169.120.140:8080/live/cctv-15/.m3u8
CCTV-16奥林匹克频道,http://117.169.120.140:8080/live/cctv-16/.m3u8
CCTV-17农业农村,http://117.169.120.140:8080/live/cctv-17/.m3u8
		
CCTV-1综合,http://117.40.212.162:8888/newlive/live/hls/3/live.m3u8
CCTV-2财经,http://117.40.212.162:8888/newlive/live/hls/4/live.m3u8
CCTV-3综艺,http://117.40.212.162:8888/newlive/live/hls/5/live.m3u8
CCTV-4中文国际,http://117.40.212.162:8888/newlive/live/hls/6/live.m3u8
CCTV-5体育,http://117.40.212.162:8888/newlive/live/hls/7/live.m3u8
CCTV-6电影,http://117.40.212.162:8888/newlive/live/hls/8/live.m3u8
CCTV-7国防军事,http://117.40.212.162:8888/newlive/live/hls/9/live.m3u8
CCTV-8电视剧,http://117.40.212.162:8888/newlive/live/hls/10/live.m3u8
CCTV-9纪录片,http://117.40.212.162:8888/newlive/live/hls/11/live.m3u8
CCTV-10科教,http://117.40.212.162:8888/newlive/live/hls/12/live.m3u8
CCTV-11戏曲,http://117.40.212.162:8888/newlive/live/hls/13/live.m3u8
CCTV-12社会与法制,http://117.40.212.162:8888/newlive/live/hls/14/live.m3u8
CCTV-13新闻,http://117.40.212.162:8888/newlive/live/hls/15/live.m3u8
CCTV-14少儿频道,http://117.40.212.162:8888/newlive/live/hls/16/live.m3u8
